year,name,total_est_pop_over16,total_est_median_earnings,male_est_pop_over16,male_est_median_fulltime_earnings,female_est_pop_over16,female_est_median_fulltime_earnings
2018,Portland,403854,40331,206524,59776,197330,53119
2018,Memphis,321412,27396,155546,38040,165866,34403
2018,Nashville,407180,35237,207857,46628,199323,40815
2018,Austin,608253,41653,327372,57144,280881,51431
2018,El Paso,334142,24989,177270,39894,156872,32220
2018,Fort Worth,469433,32911,259968,48302,209465,39775
2018,Seattle,497135,52385,263694,81260,233441,67051
2018,Milwaukee,306138,29274,150519,42217,155619,37203
2019,Mesa,272389,36190,146253,50178,126136,41679
2019,Tucson,296603,26562,156462,39878,140141,35719
2019,Fresno,245698,30840,130518,45641,115180,38733
2019,Sacramento,275398,37448,139572,50753,135826,50267
2019,San Francisco,574061,67926,303836,101077,270225,80163
2019,Denver,458499,47146,241754,63427,216745,52117
2019,Washington,430142,61960,204309,87603,225833,72750
2019,Jacksonville,493540,32853,253373,46232,240167,37176
2019,Indianapolis,459472,33054,229476,46434,229996,39044
2019,Baltimore,306063,37654,146877,51333,159186,47305
2019,Boston,448170,45046,219000,67096,229170,61610
2019,Detroit,291915,27046,140668,36341,151247,35300
2019,Kansas City,279902,36445,140070,50257,139832,44395
2019,Las Vegas,325615,35126,177423,42316,148192,40439
2019,Albuquerque,302690,32389,156731,48480,145959,41288
2019,Charlotte,521863,38528,259003,53439,262860,43693
2019,Columbus,546185,35013,280219,47917,265966,42101
2019,Oklahoma City,348424,35040,184736,47382,163688,39034
2019,Portland,404945,42060,205919,62078,199026,55165
2019,Memphis,330989,30068,157881,40927,173108,36263
2019,Nashville,412956,37624,208219,50400,204737,46636
2019,Austin,622473,42416,334040,60096,288433,50242
2019,El Paso,333433,26104,183312,39279,150121,31417
2019,Fort Worth,488934,35739,262701,50472,226233,41521
2019,Seattle,510598,58698,276430,91904,234168,71733
2019,Milwaukee,302414,31157,150132,42247,152282,38250
