year,city_state,name,total_est_pop_over16,total_est_median_earnings,total_est_mean_earnings,male_est_pop_over16,male_est_median_earnings,male_est_median_fulltime_earnings,male_est_mean_fulltime_earnings,female_est_pop_over16,female_est_median_earnings,female_est_median_fulltime_earnings,female_est_mean_fulltime_earnings
2017,"Washington city, District of Columbia",Washington,420037,54604,94982,203070,60167,74877,105006,216967,51904,66679,84731
2017,"Jacksonville city, Florida",Jacksonville,477714,31470,53808,243348,35377,43657,59985,234366,28610,37846,46196
2017,"Indianapolis city (balance), Indiana",Indianapolis,454597,31282,53531,229937,34781,44953,58713,224660,28139,37271,47871
2017,"Baltimore city, Maryland",Baltimore,311252,35251,59432,147820,37111,51685,65857,163432,32471,44249,53479
2017,"Boston city, Massachusetts",Boston,433402,38884,79642,215348,41776,57769,89402,218054,35067,54394,68558
2017,"Detroit city, Michigan",Detroit,269994,24677,40863,125887,25599,35238,42717,144107,23169,32413,39091
2017,"Kansas City city, Missouri",Kansas City,280215,33575,56143,140620,37024,47457,63929,139595,31328,39930,47860
2017,"Las Vegas city, Nevada",Las Vegas,331866,32753,58551,179377,36899,45452,64305,152489,30297,38270,50859
2017,"Albuquerque city, New Mexico",Albuquerque,287455,31177,55326,145681,33529,45988,61750,141774,28641,40371,47848
2017,"Charlotte city, North Carolina",Charlotte,502741,36267,70567,255156,40768,51823,82401,247585,32136,43732,56543
2017,"Columbus city, Ohio",Columbus,511602,31401,52338,262141,34334,44911,55695,249461,29253,40317,48296
2017,"Oklahoma City city, Oklahoma",Oklahoma City,340428,31589,54694,179777,36370,46059,61594,160651,27446,36992,45803
2017,"Portland city, Oregon",Portland,402862,36382,66378,208246,40216,53002,72555,194616,32037,46640,58684
2017,"Memphis city, Tennessee",Memphis,320722,27076,49686,155505,30625,36810,57241,165217,25391,32903,41971
2017,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,403680,33369,57301,205964,35998,44144,63372,197716,31498,41008,50329
2017,"Austin city, Texas",Austin,593241,39883,69952,326675,42311,52448,78857,266566,35796,48902,57727
2017,"El Paso city, Texas",El Paso,332772,26045,46365,177818,30603,39028,50674,154954,21983,32226,40253
2017,"Fort Worth city, Texas",Fort Worth,470597,35100,56756,251920,38152,47439,62374,218677,30115,41472,49101
2017,"Seattle city, Washington",Seattle,476956,51851,94911,247314,60317,81266,108441,229642,45307,62997,78228
2017,"Milwaukee city, Wisconsin",Milwaukee,302776,27798,45829,149758,30599,39756,48633,153018,25754,36240,42775
2018,"Mesa city, Arizona",Mesa,262738,31882,55529,141264,36434,44328,62198,121474,27742,38674,46003
2018,"Tucson city, Arizona",Tucson,282730,26128,46080,146915,28720,37010,49123,135815,23453,33571,42095
2018,"Fresno city, California",Fresno,245834,29200,54458,130162,31843,42331,56049,115672,24740,40232,52277
2018,"Sacramento city, California",Sacramento,260964,37343,64961,135369,40477,51670,71130,125595,34270,50005,57592
2018,"San Francisco city, California",San Francisco,571363,65393,119125,303787,71534,100057,133256,267576,60067,80879,101373
2018,"Denver city, Colorado",Denver,452994,42409,75283,240788,47489,56503,83743,212206,37459,51551,64308
2018,"Washington city, District of Columbia",Washington,427265,57851,99557,205920,62384,81267,110718,221345,54822,70911,88580
2018,"Jacksonville city, Florida",Jacksonville,490618,32016,55522,254843,35967,45374,62294,235775,28794,38561,47000
2018,"Indianapolis city (balance), Indiana",Indianapolis,464471,32122,54453,233430,35967,46253,59849,231041,30166,40143,48378
2018,"Baltimore city, Maryland",Baltimore,315178,36970,62495,149408,40643,50983,69912,165770,34985,43472,55562
2018,"Boston city, Massachusetts",Boston,435623,41125,83904,213249,45061,61873,95348,222374,37276,57342,71793
